drug_name,side_effects,generic_name,drug_classes,brand_names
Adderall,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Adderall may cause serious side effects. Call your doctor at once if you have: signs of heart problems - chest pain, trouble breathing, feeling like you might pass out; signs of psychosis - hallucinations (seeing or hearing things that are not real), new behavior problems, aggression, hostility, paranoia; signs of circulation problems - numbness, pain, cold feeling, unexplained wounds, or skin color changes (pale, red, or blue appearance) in your fingers or toes; a seizure (convulsions); muscle twitches (tics); or changes in your vision. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate, muscle stiffness, twitching, loss of coordination, nausea, vomiting, or diarrhea. Adderall can affect growth in children. Tell your doctor if your child is not growing at a normal rate while using this medicine. Common side effects of Adderall may include: stomach pain; loss of appetite; weight loss; mood changes; feeling nervous; fast heart rate; headache; dizziness; sleep problems (insomnia); or dry mouth.",amphetamine and dextroamphetamine,CNS stimulants,"Adderall XR, Mydayis"
Adderall XR,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Adderall XR may cause serious side effects. Call your doctor at once if you have: signs of heart problems--chest pain, trouble breathing, feeling like you might pass out; signs of psychosis--hallucinations (seeing or hearing things that are not real), new behavior problems, aggression, hostility, paranoia; signs of circulation problems--numbness, pain, cold feeling, unexplained wounds, or skin color changes (pale, red, or blue appearance) in your fingers or toes; a seizure (convulsions); muscle twitches (tics); or changes in your vision. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea, vomiting, or diarrhea. Long-term use of stimulant medicine can affect growth in children. Tell your doctor if your child is not growing at a normal rate while using this medicine. Common side effects of Adderall XR may include: stomach pain, nausea, loss of appetite; weight loss ; mood changes, feeling nervous or irritable; fast heart rate; headache , dizziness ; sleep problems ( insomnia ); or dry mouth.",amphetamine and dextroamphetamine,CNS stimulants,"Adderall, Mydayis"
lisdexamfetamine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Lisdexamfetamine may cause serious side effects. Call your doctor at once if you have: signs of heart problems--chest pain, trouble breathing, pounding heartbeats or fluttering in your chest, feeling like you might pass out; signs of psychosis--hallucinations (seeing or hearing things that are not real), new behavior problems, aggression, hostility, paranoia; or signs of circulation problems--numbness, pain, cold feeling, unexplained wounds, or skin color changes (pale, red, or blue appearance) in your fingers or toes. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation , hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea , vomiting , or diarrhea . Lisdexamfetamine can affect growth in children. Tell your doctor if your child is not growing at a normal rate while using lisdexamfetamine. Common side effects of lisdexamfetamine may include: dry mouth, loss of appetite, weight loss; sleep problems ( insomnia ); fast heart rate, feeling jittery; dizziness , feeling anxious or irritable; or nausea, vomiting, stomach pain, diarrhea, constipation .",lisdexamfetamine,CNS stimulants,Vyvanse
amantadine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: extreme drowsiness, falling asleep suddenly even after feeling alert; a light-headed feeling, like you might pass out; shortness of breath (even with mild exertion), swelling in your hands or feet; painful or difficult urination; depression , agitation, aggression, behavior changes, hallucinations, thoughts of hurting yourself; a seizure; or severe nervous system reaction - very stiff (rigid) muscles, high fever, sweating, confusion, fast or uneven heartbeats, tremors. You may have increased sexual urges, unusual urges to gamble, or other intense urges while taking this medicine. Talk with your doctor if this occurs. Side effects may be more likely in older adults. Common amantadine side effects may include: dizziness , falls; dry mouth; swelling in your legs or feet; nausea , constipation ; or sleep problems ( insomnia ).",amantadine,"Adamantane antivirals, Dopaminergic antiparkinsonism agents","Gocovri, Osmolex ER, Symmetrel"
methylphenidate,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: signs of heart problems - chest pain, trouble breathing, feeling like you might pass out; signs of psychosis - hallucinations (seeing or hearing things that are not real), new behavior problems, aggression, hostility, paranoia; signs of circulation problems - numbness , pain, cold feeling, unexplained wounds, or skin color changes (pale, red, or blue appearance) in your fingers or toes; or penis erection that is painful or lasts 4 hours or longer. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea, vomiting, or diarrhea. Methylphenidate can affect growth in children. Your child's height and weight may need to be checked often. Tell your doctor if your child is not growing at a normal rate. Common methylphenidate side effects may include: sweating, increased blood pressure; mood changes, anxiety, feeling nervous or irritable, trouble sleeping; fast heart rate, pounding heartbeats or fluttering in your chest; loss of appetite, weight loss ; dry mouth, nausea, vomiting, stomach pain, indigestion ; or headache, dizziness .",methylphenidate (oral),CNS stimulants,"Adhansia XR, Aptensio XR, Concerta, Cotempla XR-ODT, Jornay PM, Metadate ER, Methylin, QuilliChew ER, Quillivant XR, Relexxii, Ritalin, Ritalin LA"
Dexedrine,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Dexedrine Spansule may cause serious side effects. Call your doctor at once if you have: signs of heart problems--chest pain, trouble breathing, feeling like you might pass out; signs of psychosis--hallucinations (seeing or hearing things that are not real), new behavior problems, aggression, hostility, paranoia; signs of circulation problems--numbness, pain, cold feeling, unexplained wounds, or skin color changes (pale, red, or blue appearance) in your fingers or toes; a seizure (convulsions); muscle twitches (tics); or changes in your vision. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea, vomiting, or diarrhea. Dexedrine Spansule can affect growth in children. Tell your doctor if your child is not growing at a normal rate while using Dexedrine Spansule. Common side effects of Dexedrine Spansule may include: dry mouth, upset stomach , loss of appetite, weight loss ; headache , dizziness ; tremors, fast heartbeats; or sleep problems ( insomnia ).",dextroamphetamine,CNS stimulants,"ProCentra, Zenzedi"
amphetamine / dextroamphetamine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Amphetamine and dextroamphetamine may cause serious side effects. Call your doctor at once if you have: signs of heart problems--chest pain, trouble breathing, feeling like you might pass out; signs of psychosis--hallucinations (seeing or hearing things that are not real), new behavior problems, aggression, hostility, paranoia; signs of circulation problems--numbness, pain, cold feeling, unexplained wounds, or skin color changes (pale, red, or blue appearance) in your fingers or toes; a seizure (convulsions); muscle twitches (tics); or changes in your vision. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea, vomiting, or diarrhea. Long-term use of stimulant medicine can affect growth in children. Tell your doctor if your child is not growing at a normal rate while using this medicine. Common side effects of amphetamine and dextroamphetamine may include: stomach pain, nausea, loss of appetite; weight loss ; mood changes, feeling nervous or irritable; fast heart rate; headache , dizziness ; sleep problems ( insomnia ); or dry mouth.",amphetamine and dextroamphetamine,CNS stimulants,"Adderall, Adderall XR, Mydayis"
dextroamphetamine,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Dextroamphetamine may cause serious side effects. Call your doctor at once if you have: signs of heart problems--chest pain, trouble breathing, feeling like you might pass out; signs of psychosis--hallucinations (seeing or hearing things that are not real), new behavior problems, aggression, hostility, paranoia; signs of circulation problems--numbness, pain, cold feeling, unexplained wounds, or skin color changes (pale, red, or blue appearance) in your fingers or toes; a seizure (convulsions); muscle twitches (tics); or changes in your vision. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea, vomiting, or diarrhea. Dextroamphetamine can affect growth in children. Tell your doctor if your child is not growing at a normal rate while using dextroamphetamine. Common side effects of dextroamphetamine may include: dry mouth, upset stomach , loss of appetite, weight loss ; headache , dizziness ; tremors, fast heartbeats; or sleep problems ( insomnia ).",dextroamphetamine,CNS stimulants,"ProCentra, Zenzedi, Dexedrine, Dextrostat, Liquadd"
bupropion,"(hives, itching, fever, swollen glands, difficult breathing, swelling in your face or throat) or a severe skin reaction (fever, sore throat, burning eyes, skin pain, red or purple skin rash with blistering and peeling). Report any new or worsening symptoms to your doctor , such as: mood or behavior changes, anxiety, depression, panic attacks, trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself. Call your doctor at once if you have: a seizure (convulsions); confusion, unusual changes in mood or behavior; blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights; fast or irregular heartbeats; or a manic episode - racing thoughts, increased energy, reckless behavior, feeling extremely happy or irritable, talking more than usual, severe problems with sleep. Common bupropion side effects may include: dry mouth, sore throat, stuffy nose; ringing in the ears; blurred vision; nausea, vomiting, stomach pain, loss of appetite, constipation; sleep problems (insomnia); tremors, sweating, feeling anxious or nervous; fast heartbeats; confusion, agitation, hostility; rash; weight loss; increased urination; headache, dizziness; or muscle or joint pain.",bupropion,"Miscellaneous antidepressants, Smoking cessation agents","Aplenzin, Forfivo XL, Wellbutrin SR, Wellbutrin XL, Zyban, Budeprion XL"
clonidine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: severe chest pain, shortness of breath, irregular heartbeats; a very slow heart rate ; or a light-headed feeling, like you might pass out. Common clonidine side effects may include: drowsiness, dizziness; feeling tired or irritable; dry mouth; constipation , loss of appetite; or sleep problems ( insomnia ), nightmares .",clonidine (oral),"Antiadrenergic agents, centrally acting","Catapres, Kapvay"
guanfacine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Guanfacine may cause serious side effects. Call your doctor at once if you have: anxiety , nervousness ; hallucinations (especially in children); severe drowsiness; slow heartbeats; or a light-headed feeling, like you might pass out; If you stop taking guanfacine, tell your doctor if you have headaches, confusion, rapid heartbeats, tremors, increased blood pressure, or if you feel nervous or agitated. If left untreated, these symptoms could lead to very high blood pressure, vision problems, or seizures . Common side effects of guanfacine may include: dizziness , drowsiness; low blood pressure, slow heartbeats; feeling tired or irritable; trouble sleeping; dry mouth; or stomach pain, nausea , constipation .",guanfacine,"Antiadrenergic agents, centrally acting","Tenex, Intuniv"
Focalin,"fever; hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: signs of heart problems - chest pain, trouble breathing, feeling like you might pass out; signs of psychosis - hallucinations (seeing or hearing things that are not real), new thought or behavior problems, aggression, hostility, paranoia; signs of circulation problems - numbness , pain, cold feeling, unexplained wounds, or skin color changes (pale, red, or blue appearance) in your fingers or toes; or penis erection that is painful or lasts 4 hours or longer. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea , vomiting, or diarrhea . Dexmethylphenidate can affect growth in children. Your child's height and weight may need to be checked often. Tell your doctor if your child is not growing at a normal rate. Common Focalin side effects may include: loss of appetite; nausea, stomach pain; or fever.",dexmethylphenidate,CNS stimulants,Focalin XR
atomoxetine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Report any new or worsening symptoms to your doctor, such as: anxiety , panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), depressed, or have thoughts about suicide or hurting yourself. Atomoxetine can affect growth in children. Tell your doctor if your child is not growing at a normal rate while using this medicine. Atomoxetine may cause serious side effects. Call your doctor at once if you have: signs of heart problems--chest pain, trouble breathing, feeling like you might pass out; signs of psychosis--hallucinations (seeing or hearing things that are not real), new behavior problems, aggression, hostility, paranoia; liver problems--stomach pain (upper right side), itching, flu-like symptoms, dark urine, jaundice (yellowing of the skin or eyes); painful or difficult urination; or erection is painful or lasts longer than 4 hours (this is a rare side effect). Common side effects of atomoxetine may include: nausea , vomiting , upset stomach , constipation ; dry mouth, loss of appetite; mood changes, feeling tired; dizziness; urination problems; or impotence , trouble having an erection.",atomoxetine,Adrenergic uptake inhibitors for ADHD,Strattera
Focalin XR,"fever; hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Focalin XR may cause serious side effects. Call your doctor at once if you have: signs of heart problems--chest pain, trouble breathing, feeling like you might pass out; signs of psychosis--hallucinations (seeing or hearing things that are not real), new thought or behavior problems, aggression, hostility, paranoia; signs of circulation problems-- numbness , pain, cold feeling, unexplained wounds, or skin color changes (pale, red, or blue appearance) in your fingers or toes; or penis erection that is painful or lasts 4 hours or longer. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea , vomiting, or diarrhea . Focalin XR can affect growth in children. Your child's height and weight may need to be checked often. Tell your doctor if your child is not growing at a normal rate. Common side effects of Focalin XR may include: loss of appetite; nausea, stomach pain; or fever.",dexmethylphenidate,CNS stimulants,Focalin
amphetamine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: signs of heart problems - chest pain, trouble breathing, feeling like you might pass out; signs of psychosis - hallucinations (seeing or hearing things that are not real), new behavior problems, aggression, hostility, paranoia; signs of circulation problems - numbness , pain, cold feeling, unexplained wounds, or skin color changes (pale, red, or blue appearance) in your fingers or toes; a seizure (convulsions); muscle twitches (tics); pain or burning when you urinate; or changes in your vision. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation , hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea , vomiting, or diarrhea. Amphetamine can affect growth. Tell your doctor if your child is not growing at a normal rate. Common amphetamine side effects may include: increased heart rate; mood changes, anxiety , feeling restless or nervous; trouble sleeping; dry mouth, stomach pain, nausea, vomiting, diarrhea, constipation ; loss of appetite, weight loss ; painful urination; sexual problems, impotence ; headache , dizziness ; fever, weakness; or itching.",amphetamine,CNS stimulants,"Adzenys ER, Adzenys XR-ODT, Dyanavel XR, Evekeo, Evekeo ODT"
dexmethylphenidate,"fever; hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Dexmethylphenidate may cause serious side effects. Call your doctor at once if you have: signs of heart problems--chest pain, trouble breathing, feeling like you might pass out; signs of psychosis--hallucinations (seeing or hearing things that are not real), new thought or behavior problems, aggression, hostility, paranoia; signs of circulation problems-- numbness , pain, cold feeling, unexplained wounds, or skin color changes (pale, red, or blue appearance) in your fingers or toes; or penis erection that is painful or lasts 4 hours or longer. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea , vomiting, or diarrhea . Dexmethylphenidate can affect growth in children. Your child's height and weight may need to be checked often. Tell your doctor if your child is not growing at a normal rate. Common side effects of dexmethylphenidate may include: loss of appetite; nausea, stomach pain; or fever.",dexmethylphenidate,CNS stimulants,"Focalin, Focalin XR"
methamphetamine,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: signs of heart problems - chest pain, trouble breathing, feeling like you might pass out; signs of psychosis - hallucinations (seeing or hearing things that are not real), new behavior problems, aggression, hostility, paranoia; signs of circulation problems - numbness, pain, cold feeling, unexplained wounds, or skin color changes (pale, red, or blue appearance) in your fingers or toes; a seizure (convulsions); muscle twitches (tics); or changes in your vision. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate, muscle stiffness, twitching, loss of coordination, nausea, vomiting, or diarrhea. Methamphetamine can affect growth in children. Tell your doctor if your child is not growing at a normal rate while using this medicine. Common methamphetamine side effects may include: headache or dizziness; fast heartbeats; sleep problems (insomnia); diarrhea, constipation, upset stomach; tremors; or loss of appetite, weight loss.",methamphetamine,"Anorexiants, CNS stimulants",Desoxyn
modafinil,"hives; difficulty breathing; swelling of your face, lips, tongue, or throat. Modafinil can cause skin reactions that may be severe enough to need treatment in a hospital. Stop taking this medicine and get emergency medical help if you have: skin rash or hives, blisters or peeling; mouth sores, trouble swallowing; fever, shortness of breath; swelling in your legs; dark urine, jaundice (yellowing of the skin or eyes); or swelling in your face, eyes, lips, tongue, or throat. Modafinil may cause serious side effects. Stop using modafinil and call your doctor at once if you have: depression , anxiety , suicidal thoughts or actions; hallucinations, unusual thoughts or behavior, aggression, being more active or talkative than usual; chest pain, trouble breathing, uneven heart beats; or the first sign of any skin rash, no matter how minor you think it might be. Common side effects of modafinil may include: headache , dizziness ; feeling nervous or anxious; back pain ; nausea , diarrhea , upset stomach ; sleep problems ( insomnia ); or stuffy nose.",modafinil,CNS stimulants,Provigil
omega-3 polyunsaturated fatty acids,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Omega-3 polyunsaturated fatty acids may cause serious side effects. Call your doctor at once if you have: chest pain; or uneven heartbeats. Common side effects of omega-3 polyunsaturated fatty acids may include: loss of appetite; diarrhea , constipation , upset stomach , belching ; back pain ; or dry mouth, altered sense of taste.",omega-3 polyunsaturated fatty acids,Nutraceutical products,"Dry Eye Omega Benefits, Fish Oil, Lovaza, MegaKrill, Nature's Bounty Red Krill Oil, Prenatal DHA, Sea-Omega, TheraTears Nutrition, TherOmega, Triple Strength Red Krill Oil, Vascazen, Wellbaby DHA, Marine Lipid Concentrate, Super-EPA, MaxEPA, Proepa, Omega-500, EPA Fish Oil, Omega-3, Icar Prenatal Essential Omega-3, Omacor, Sea-Omega 30, Sea-Omega 70, Mi-Omega, Mi-Omega NF, Animi-3, MaxiVision Omega-3 Formula, MaxiTears Dry Eye Formula, Divista, Fish Oil Ultra, Animi-3 with Vitamin D, Flex Omega Benefits, Cardio Omega Benefits, Mom's Omega Advantage, Omega Essentials, Omega Essentials Basic, TherOmega Sport, Omega-3 Fish Oil, Salmon Oil, Dual Spectrum Omega-3, Disney Omega-3 Gummies, Epanova, Ovega-3 Vegetarian, Vayarin, Omega-3 D-3 Wellness Pack, Vayacog, Vayarin Plus, BP Vit 3, Omera, De3 Dry Eye Omega Benefits, De Dye Eye Omega Benefits, MegaRed Advanced, Schiff Antarctic Krill and Fish Oil Blend, Schiff Antarctic Krill Oil, Smart Heart, Omega Monopure, Omegapure 900 EC, Omegapure 780 EC, Life's DHA Adult, Eye Omega Benefits for Kids, Omega-V Benefits, Omega MonoPure 650 EC, Omegapure 820, Max DHA, Omegapure 600 EC"
ProCentra,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. ProCentra may cause serious side effects. Call your doctor at once if you have: signs of heart problems--chest pain, trouble breathing, feeling like you might pass out; signs of psychosis--hallucinations (seeing or hearing things that are not real), new behavior problems, aggression, hostility, paranoia; signs of circulation problems--numbness, pain, cold feeling, unexplained wounds, or skin color changes (pale, red, or blue appearance) in your fingers or toes; a seizure (convulsions); muscle twitches (tics); or changes in your vision. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea, vomiting, or diarrhea. ProCentra can affect growth in children. Tell your doctor if your child is not growing at a normal rate while using ProCentra. Common side effects of ProCentra may include: dry mouth, upset stomach , loss of appetite, weight loss ; headache , dizziness ; tremors, fast heartbeats; or sleep problems ( insomnia ).",dextroamphetamine,CNS stimulants,Zenzedi
selegiline,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Selegiline may cause serious side effects. Call your doctor at once if you have: a light-headed feeling, like you might pass out; trouble breathing; confusion, hallucinations, unusual thoughts or behavior; increased tremors or uncontrolled muscle movements; worsening side effects of your other medications; high levels of serotonin in the body (when taken with an antidepressant)-- agitation , fever, fast heart rate , overactive reflexes, nausea , vomiting , diarrhea , loss of coordination, fainting; or dangerously high blood pressure--severe headache, blurred vision, pounding in your neck or ears, anxiety , nausea, vomiting, severe chest pain, shortness of breath, pounding heartbeats, or seizure (convulsions). You may have increased sexual urges, unusual urges to gamble, or other intense urges while taking this medicine. Talk with your doctor if this occurs. Common side effects of selegiline may include: dizziness ; nausea, stomach pain, constipation ; skin rash or other irritation; sleep problems ( insomnia ); or mouth sores or ulcers, pain with swallowing (while using selegiline orally disintegrating tablets).",selegiline (oral),"Dopaminergic antiparkinsonism agents, Monoamine oxidase inhibitors","Eldepryl, Zelapar"
Zenzedi,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Zenzedi may cause serious side effects. Call your doctor at once if you have: signs of heart problems--chest pain, trouble breathing, feeling like you might pass out; signs of psychosis--hallucinations (seeing or hearing things that are not real), new behavior problems, aggression, hostility, paranoia; signs of circulation problems--numbness, pain, cold feeling, unexplained wounds, or skin color changes (pale, red, or blue appearance) in your fingers or toes; a seizure (convulsions); muscle twitches (tics); or changes in your vision. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea, vomiting, or diarrhea. Zenzedi can affect growth in children. Tell your doctor if your child is not growing at a normal rate while using Zenzedi. Common side effects of Zenzedi may include: dry mouth, upset stomach , loss of appetite, weight loss ; headache , dizziness ; tremors, fast heartbeats; or sleep problems ( insomnia ).",dextroamphetamine,CNS stimulants,ProCentra
armodafinil,"skin rash, fever, swollen glands, flu-like symptoms, unusual bruising, or jaundice (yellowing of your skin or eyes). Armodafinil may cause serious side effects. Stop using armodafinil and call your doctor at once if you have: bruising, severe tingling, numbness , pain, muscle weakness; unusual bleeding ( nosebleeds , bleeding gums); skin sores or blistering; mouth sores, trouble swallowing; chest pain, uneven heart beats; or depression , anxiety , hallucinations, aggression, unusual thoughts or behavior, suicidal thoughts. Common side effects of armodafinil may include: headache , dizziness ; nausea; or sleep problems ( insomnia ).",armodafinil,CNS stimulants,Nuvigil
desvenlafaxine,"skin rash or hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Tell your doctor right away if you have new or sudden changes in mood or behavior, including new or worse depression or anxiety , panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, more active or talkative, or have thoughts about suicide or hurting yourself. Desvenlafaxine may cause serious side effects. Call your doctor at once if you have: a seizure; easy bruising or bleeding ( nosebleeds , bleeding gums), blood in your urine or stools, coughing up blood ; blurred vision, eye pain or swelling, or seeing halos around lights; cough, chest discomfort, trouble breathing; or low blood sodium-- headache , confusion, problems with thinking or memory, weakness, feeling unsteady. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea , vomiting , or diarrhea . Common side effects of desvenlafaxine may include: dizziness , drowsiness, anxiety; increased sweating; nausea, decreased appetite, constipation ; sleep problems ( insomnia ); or decreased sex drive, impotence , or difficulty having an orgasm.",desvenlafaxine,Serotonin-norepinephrine reuptake inhibitors,"Khedezla, Pristiq"
Evekeo,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Evekeo may cause serious side effects. Call your doctor at once if you have: signs of heart problems--chest pain, trouble breathing, feeling like you might pass out; signs of psychosis--hallucinations (seeing or hearing things that are not real), new behavior problems, aggression, hostility, paranoia; signs of circulation problems-- numbness , pain, cold feeling, unexplained wounds, or skin color changes (pale, red, or blue appearance) in your fingers or toes; a seizure (convulsions); muscle twitches (tics); pain or burning when you urinate; or changes in your vision. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation , hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea , vomiting, or diarrhea. Evekeo can affect growth. Tell your doctor if your child is not growing at a normal rate. Common side effects of Evekeo may include: increased heart rate; mood changes, anxiety , feeling restless or nervous; trouble sleeping; dry mouth, stomach pain, nausea, vomiting, diarrhea, constipation ; loss of appetite, weight loss ; painful urination; sexual problems, impotence ; headache , dizziness ; fever, weakness; or itching.",amphetamine,CNS stimulants,"Adzenys ER, Adzenys XR-ODT, Dyanavel XR, Evekeo ODT"
Adzenys ER,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Adzenys ER may cause serious side effects. Call your doctor at once if you have: signs of heart problems--chest pain, trouble breathing, feeling like you might pass out; signs of psychosis--hallucinations (seeing or hearing things that are not real), new behavior problems, aggression, hostility, paranoia; signs of circulation problems-- numbness , pain, cold feeling, unexplained wounds, or skin color changes (pale, red, or blue appearance) in your fingers or toes; a seizure (convulsions); muscle twitches (tics); pain or burning when you urinate; or changes in your vision. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation , hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea , vomiting, or diarrhea. Adzenys ER can affect growth. Tell your doctor if your child is not growing at a normal rate. Common side effects of Adzenys ER may include: increased heart rate; mood changes, anxiety , feeling restless or nervous; trouble sleeping; dry mouth, stomach pain, nausea, vomiting, diarrhea, constipation ; loss of appetite, weight loss ; painful urination; sexual problems, impotence ; headache , dizziness ; fever, weakness; or itching.",amphetamine,CNS stimulants,"Adzenys XR-ODT, Dyanavel XR, Evekeo, Evekeo ODT"
Adzenys XR-ODT,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Adzenys XR-ODT may cause serious side effects. Call your doctor at once if you have: signs of heart problems--chest pain, trouble breathing, feeling like you might pass out; signs of psychosis--hallucinations (seeing or hearing things that are not real), new behavior problems, aggression, hostility, paranoia; signs of circulation problems-- numbness , pain, cold feeling, unexplained wounds, or skin color changes (pale, red, or blue appearance) in your fingers or toes; a seizure (convulsions); muscle twitches (tics); pain or burning when you urinate; or changes in your vision. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation , hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea , vomiting, or diarrhea. Adzenys XR-ODT can affect growth. Tell your doctor if your child is not growing at a normal rate. Common side effects of Adzenys XR-ODT may include: increased heart rate; mood changes, anxiety , feeling restless or nervous; trouble sleeping; dry mouth, stomach pain, nausea, vomiting, diarrhea, constipation ; loss of appetite, weight loss ; painful urination; sexual problems, impotence ; headache , dizziness ; fever, weakness; or itching.",amphetamine,CNS stimulants,"Adzenys ER, Dyanavel XR, Evekeo, Evekeo ODT"
desipramine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Report any new or worsening symptoms to your doctor, such as: mood or behavior changes, anxiety , panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself. Desipramine may cause serious side effects. Call your doctor at once if you have: easy bruising, unusual bleeding, purple or red spots under your skin; a light-headed feeling, like you might pass out; confusion, hallucinations, unusual thoughts or behavior; blurred vision, tunnel vision, eye pain or swelling, seeing halos around lights; new or worsening chest pain, pounding heartbeats or fluttering in your chest; sudden numbness or weakness, problems with vision, speech, or balance; fever, sore throat ; easy bruising, unusual bleeding (nose, mouth, vagina, or rectum); painful or difficult urination; upper stomach pain, loss of appetite, jaundice (yellowing of the skin or eyes); a seizure; or severe nervous system reaction--very stiff (rigid) muscles, high fever, sweating, confusion, fast or uneven heartbeats, tremors, feeling like you might pass out. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation , hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea , vomiting , or diarrhea . Serious side effects may be more likely in older adults and those who are ill or debilitated. Common side effects of desipramine may include: increased blood pressure; tingly feeling, weakness, lack of coordination; dry mouth, loss of appetite, nausea, vomiting; breast swelling (in men or women); or weight gain or weight loss .",desipramine,Tricyclic antidepressants,Norpramin
