drug_name,side_effects,generic_name,drug_classes,brand_names
Theramycin Z,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Theramycin Z may cause serious side effects. Call your doctor at once if you have: severe burning, stinging, or redness; oozing or other signs of skin infection ; worsening of your skin condition; or severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose). Common side effects of Theramycin Z may include: skin itching, redness, burning, or peeling; or dry or oily skin.",erythromycin topical,"Topical acne agents, Topical antibiotics","Emcin Clear, Erygel"
Absorica LD,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Signs or symptoms of depression , suicidal thoughts, emotional ups and downs, abnormal thinking, anxiety , or lack of interest in life. Signs of liver problems like dark urine, feeling tired, not hungry, upset stomach or stomach pain, light-colored stools, throwing up, or yellow skin or eyes. Signs of esophagus problems like chest pain, trouble swallowing, or new or worse heartburn . Signs of high blood sugar like confusion, feeling sleepy, more thirst, more hungry, passing urine more often, flushing, fast breathing, or breath that smells like fruit. Behavior problems. Eye pain . Back, bone, joint, or muscle pain. Muscle weakness. Any unexplained bruising or bleeding. Feeling very tired or weak. Not able to pass urine or change in how much urine is passed. Swelling. Swollen gland. Fast or abnormal heartbeat. Hearing problems like change in hearing or ringing in the ears may happen. This may go away after stopping the drug but sometimes it may not. A very bad skin reaction ( Stevens-Johnson syndrome / toxic epidermal necrolysis ) may happen. It can cause very bad health problems that may not go away, and sometimes death. Get medical help right away if you have signs like red, swollen, blistered, or peeling skin (with or without fever); red or irritated eyes; or sores in your mouth, throat, nose, or eyes. Very bad and sometimes deadly pancreas problems ( pancreatitis ) have happened with Absorica LD (ISOtretinoin (systemic)). Call your doctor right away if you have very bad stomach pain, very bad back pain , or very upset stomach or throwing up. Absorica LD side effects",ISOtretinoin (systemic),Miscellaneous uncategorized agents,"Absorica, Amnesteem, Claravis, Myorisan, Zenatane"
Acne Treatment,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Acne Treatment side effects",Benzoyl Peroxide Cream,Topical acne agents,Clearskin
Ala-Tet,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Ala-Tet may cause serious side effects. Call your doctor at once if you have: severe blistering, peeling, and red skin rash ; fever, chills, body aches, flu symptoms; pale or yellowed skin, easy bruising or bleeding; any signs of a new infection. Common side effects of Ala-Tet may include: nausea , vomiting , diarrhea, upset stomach , loss of appetite; white patches or sores inside your mouth or on your lips; swollen tongue, black or ""hairy"" tongue, trouble swallowing; sores or swelling in your rectal or genital area; or vaginal itching or discharge.",tetracycline,Tetracyclines,"Brodspec, Panmycin, Sumycin, Tetracap, Tetracon"
Avita,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Avita may cause serious side effects. Call your doctor at once if you have: severe burning, stinging, or irritation of treated skin; severe skin dryness; or severe redness, swelling, blistering, peeling, or crusting. Your skin may be more sensitive to weather extremes such as cold and wind while using Avita. Common side effects of Avita may include: skin pain, redness, burning, itching, or irritation; sore throat ; mild warmth or stinging where the medicine was applied; or changes in color of treated skin.",tretinoin topical,Topical acne agents,"Altreno, Atralin, Refissa, Renova, Retin-A"
Azelex,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: severe burning, stinging, or warmth; severe itching or tingling; severe redness, dryness, peeling, or other irritation; changes in skin color; or new or worsening breathing problems. Common side effects of Azelex may include: pain, burning, stinging, or tingling; dry or scaly skin; o itching or other irritation.",azelaic acid topical,"Topical acne agents, Topical anti-rosacea agents",Finacea
benzoyl peroxide / erythromycin,"Benzoyl peroxide can cause a rare but serious allergic reaction or severe skin irritation. These reactions may occur just a few minutes after you apply the medicine, or within a day or longer afterward. Stop using this medicine and get emergency medical help if you have any of these signs of an allergic reaction : hives, itching; difficult breathing, feeling light-headed; swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: severe redness, burning, stinging, or peeling of treated skin areas; or diarrhea that is watery or bloody. Common side effects of benzoyl peroxide and erythromycin topical may include: mild burning or stinging; itching or tingly feeling; dryness or peeling of treated skin; or redness or other irritation.",benzoyl peroxide and erythromycin topical,Topical acne agents,"Benzamycin, Benzamycin Pak, Aktipak"
benzoyl peroxide / sulfur,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Very bad skin irritation. Benzoyl peroxide / sulfur topical side effects",Benzoyl Peroxide/Sulfur Gel,Topical acne agents,NuOx
Beyaz,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Stop using Beyaz and call your doctor at once if you have: signs of a stroke - sudden numbness or weakness (especially on one side of the body), sudden severe headache, slurred speech, problems with vision or balance; signs of a blood clot - sudden vision loss, stabbing chest pain, feeling short of breath, coughing up blood, pain or warmth in one or both legs; heart attack symptoms - chest pain or pressure, pain spreading to your jaw or shoulder, nausea, sweating; liver problems - loss of appetite, upper stomach pain, tiredness, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); increased blood pressure - severe headache, blurred vision, pounding in your neck or ears; swelling in your hands, ankles, or feet; a change in the pattern or severity of migraine headaches; or symptoms of depression - sleep problems, weakness, tired feeling, mood changes. Common Beyaz side effects may include: nausea; breast tenderness; headache; or breakthrough bleeding.","drospirenone, ethinyl estradiol, and levomefolate",Contraceptives,Safyral
Brodspec,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Brodspec may cause serious side effects. Call your doctor at once if you have: severe blistering, peeling, and red skin rash ; fever, chills, body aches, flu symptoms; pale or yellowed skin, easy bruising or bleeding; any signs of a new infection. Common side effects of Brodspec may include: nausea , vomiting , diarrhea, upset stomach , loss of appetite; white patches or sores inside your mouth or on your lips; swollen tongue, black or ""hairy"" tongue, trouble swallowing; sores or swelling in your rectal or genital area; or vaginal itching or discharge.",tetracycline,Tetracyclines,"Ala-Tet, Panmycin, Sumycin, Tetracap, Tetracon"
clindamycin / tretinoin,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: severe redness, burning, stinging, or scaling of treated skin areas; or diarrhea that is watery or bloody. Common side effects of clindamycin and tretinoin may include: mild skin irritation, dryness or peeling; mild skin redness; or itching of treated skin.",clindamycin and tretinoin (topical),Topical acne agents,"Veltin, Ziana"
drospirenone / ethinyl estradiol,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Birth control pills may cause serious side effects. Stop using birth control pills and call your doctor at once if you have: signs of a stroke--sudden numbness or weakness (especially on one side of the body), sudden severe headache, slurred speech, problems with vision or balance; signs of a blood clot--sudden vision loss, stabbing chest pain, feeling short of breath, coughing up blood , pain or warmth in one or both legs; heart attack symptoms--chest pain or pressure, pain spreading to your jaw or shoulder, nausea, sweating; liver problems--loss of appetite, upper stomach pain, tiredness, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); increased blood pressure--severe headache, blurred vision, pounding in your neck or ears; swelling in your hands, ankles, or feet; a change in the pattern or severity of migraine headaches; or symptoms of depression--sleep problems, weakness, tired feeling, mood changes. Common side effects of drospirenone and ethinyl estradiol may include: nausea, vomiting ; breast tenderness; headache, mood changes, feeling tired or irritable; weight gain; or changes in your menstrual periods, decreased sex drive.",drospirenone and ethinyl estradiol,Contraceptives,"Gianvi, Jasmiel, Loryna, Nikki, Ocella, Syeda, Vestura, Yasmin, Yaz, Zarah, Lo-Zumandimine, Zumandimine"
Estarylla,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Birth control pills may cause serious side effects. Stop using birth control pills and call your doctor at once if you have: signs of a stroke--sudden numbness or weakness (especially on one side of the body), sudden severe headache , slurred speech, problems with vision or balance; signs of a blood clot--sudden vision loss, stabbing chest pain, feeling short of breath, coughing up blood , pain or warmth in one or both legs; heart attack symptoms--chest pain or pressure, pain spreading to your jaw or shoulder, nausea , sweating; liver problems--loss of appetite, upper stomach pain, tiredness, fever, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); severe headache, pounding in your neck or ears; swelling in your hands, ankles, or feet; changes in the pattern or severity of migraine headaches; a breast lump; or symptoms of depression--sleep problems, weakness, tired feeling, mood changes. Common side effects of Estarylla may include: stomach pain, gas, nausea, vomiting; breast tenderness; acne , darkening of facial skin; headache, nervousness , mood changes; problems with contact lenses; changes in weight; breakthrough bleeding; vaginal itching or discharge; or rash.",ethinyl estradiol and norgestimate,Contraceptives,"Femynor, Mono-Linyah, Mononessa, Ortho Tri-Cyclen, Previfem, Sprintec, Tri-Lo-Marzia, TriNessa"
ethinyl estradiol / norgestimate,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Birth control pills may cause serious side effects. Stop using birth control pills and call your doctor at once if you have: signs of a stroke--sudden numbness or weakness (especially on one side of the body), sudden severe headache , slurred speech, problems with vision or balance; signs of a blood clot--sudden vision loss, stabbing chest pain, feeling short of breath, coughing up blood , pain or warmth in one or both legs; heart attack symptoms--chest pain or pressure, pain spreading to your jaw or shoulder, nausea , sweating; liver problems--loss of appetite, upper stomach pain, tiredness, fever, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); severe headache, pounding in your neck or ears; swelling in your hands, ankles, or feet; changes in the pattern or severity of migraine headaches; a breast lump; or symptoms of depression--sleep problems, weakness, tired feeling, mood changes. Common side effects of ethinyl estradiol and norgestimate may include: stomach pain, gas, nausea, vomiting; breast tenderness; acne , darkening of facial skin; headache, nervousness , mood changes; problems with contact lenses; changes in weight; breakthrough bleeding; vaginal itching or discharge; or rash.",ethinyl estradiol and norgestimate,Contraceptives,"Estarylla, Femynor, Mono-Linyah, Mononessa, Ortho Tri-Cyclen, Previfem, Sprintec, Tri-Lo-Marzia, TriNessa, Ortho-Cyclen, Ortho Tri-Cyclen Lo, Tri-Sprintec, Tri-Previfem, Mili, Tri-Lo-Sprintec, Tri-Linyah, Tri-Estarylla, TriNessa Lo, Tri-Lo-Estarylla, Tri Femynor, VyLibra, Tri-VyLibra, Tri-Mili, Tri-VyLibra Lo, Tri-Lo-Mili, Nymyo, Tri-Nymyo"
Gianvi,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Birth control pills may cause serious side effects. Stop using birth control pills and call your doctor at once if you have: signs of a stroke--sudden numbness or weakness (especially on one side of the body), sudden severe headache, slurred speech, problems with vision or balance; signs of a blood clot--sudden vision loss, stabbing chest pain, feeling short of breath, coughing up blood , pain or warmth in one or both legs; heart attack symptoms--chest pain or pressure, pain spreading to your jaw or shoulder, nausea, sweating; liver problems--loss of appetite, upper stomach pain, tiredness, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); increased blood pressure--severe headache, blurred vision, pounding in your neck or ears; swelling in your hands, ankles, or feet; a change in the pattern or severity of migraine headaches; or symptoms of depression--sleep problems, weakness, tired feeling, mood changes. Common side effects of Gianvi may include: nausea, vomiting ; breast tenderness; headache, mood changes, feeling tired or irritable; weight gain; or changes in your menstrual periods, decreased sex drive.",drospirenone and ethinyl estradiol,Contraceptives,"Jasmiel, Loryna, Nikki, Ocella, Syeda, Vestura, Yasmin, Yaz, Zarah"
Loryna,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Birth control pills may cause serious side effects. Stop using birth control pills and call your doctor at once if you have: signs of a stroke--sudden numbness or weakness (especially on one side of the body), sudden severe headache, slurred speech, problems with vision or balance; signs of a blood clot--sudden vision loss, stabbing chest pain, feeling short of breath, coughing up blood , pain or warmth in one or both legs; heart attack symptoms--chest pain or pressure, pain spreading to your jaw or shoulder, nausea, sweating; liver problems--loss of appetite, upper stomach pain, tiredness, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); increased blood pressure--severe headache, blurred vision, pounding in your neck or ears; swelling in your hands, ankles, or feet; a change in the pattern or severity of migraine headaches; or symptoms of depression--sleep problems, weakness, tired feeling, mood changes. Common side effects of Loryna may include: nausea, vomiting ; breast tenderness; headache, mood changes, feeling tired or irritable; weight gain; or changes in your menstrual periods, decreased sex drive.",drospirenone and ethinyl estradiol,Contraceptives,"Gianvi, Jasmiel, Nikki, Ocella, Syeda, Vestura, Yasmin, Yaz, Zarah"
magnesium hydroxide,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Magnesium hydroxide may cause serious side effects. Stop using magnesium hydroxide and call your doctor at once if you have: severe nausea , vomiting , or diarrhea; no bowel movement after using the medicine as a laxative; rectal bleeding ; or worsening symptoms. Common side effects of magnesium hydroxide may include: diarrhea; or a decreased sense of taste.",magnesium hydroxide,"Antacids, Laxatives","Ex-Lax Milk of Magnesia, Milk of Magnesia"
Ocella,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Birth control pills may cause serious side effects. Stop using birth control pills and call your doctor at once if you have: signs of a stroke--sudden numbness or weakness (especially on one side of the body), sudden severe headache, slurred speech, problems with vision or balance; signs of a blood clot--sudden vision loss, stabbing chest pain, feeling short of breath, coughing up blood , pain or warmth in one or both legs; heart attack symptoms--chest pain or pressure, pain spreading to your jaw or shoulder, nausea, sweating; liver problems--loss of appetite, upper stomach pain, tiredness, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); increased blood pressure--severe headache, blurred vision, pounding in your neck or ears; swelling in your hands, ankles, or feet; a change in the pattern or severity of migraine headaches; or symptoms of depression--sleep problems, weakness, tired feeling, mood changes. Common side effects of Ocella may include: nausea, vomiting ; breast tenderness; headache, mood changes, feeling tired or irritable; weight gain; or changes in your menstrual periods, decreased sex drive.",drospirenone and ethinyl estradiol,Contraceptives,"Gianvi, Jasmiel, Loryna, Nikki, Syeda, Vestura, Yasmin, Yaz, Zarah"
PanOxyl,"PanOxyl can cause a rare but serious allergic reaction or severe skin irritation. These reactions may occur just a few minutes after you apply the medicine, or within a day or longer afterward. Stop using this medicine and get emergency medical help if you have signs of an allergic reaction : hives, itching; difficult breathing, feeling light-headed; swelling of your face, lips, tongue, or throat. Stop using benzoyl peroxide and call your doctor at once if you have any of these side effects on the treated skin: severe itching or burning; severe stinging or redness; swelling; or peeling. Common side effects of PanOxyl may include: mild stinging or burning; itching or tingly feeling; skin dryness, peeling, or flaking; or redness or other irritation.",benzoyl peroxide topical,Topical acne agents,"Acne-Clear, Benzac AC, BenzePrO, Benziq, Brevoxyl Acne Wash Kit, Clearskin, Fostex Wash 10%, NeoBenz Micro, Neutrogena Acne Mask, Oscion, Oxy Daily Wash, Oxy-10, Pacnex, PanOxyl, Persa-Gel, Riax, SoluCLENZ Rx, Triaz"
PanOxyl 10% Acne Foaming Wash,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. PanOxyl 10% Acne Foaming Wash side effects",Benzoyl Peroxide Wash and Cleanser,Topical acne agents,"Benzac AC Wash, BP Foaming Wash, BP Wash, BPO-10 Wash, BPO-5 Wash, Desquam-X Wash, Effaclor Duo, Neutrogena Clear Pore, PanOxyl Wash, PanOxyl-4 Creamy Wash, PanOxyl-8 Creamy Wash, PR Benzoyl Peroxide Wash"
Sotret,"problems with your vision or hearing; muscle or joint pain, bone pain, back pain; increased thirst, increased urination; hallucinations, (see or hearing things that are not real); symptoms of depression--unusual mood changes, crying spells, feelings of low self-worth, loss of interest in things you once enjoyed, new sleep problems, thoughts about hurting yourself; signs of liver or pancreas problems--loss of appetite, upper stomach pain (that may spread to your back), nausea or vomiting, fast heart rate , dark urine, jaundice (yellowing of the skin or eyes); severe stomach problems--severe stomach or chest pain, pain when swallowing, heartburn , diarrhea , rectal bleeding , bloody or tarry stools; or increased pressure inside the skull--severe headaches, ringing in your ears, dizziness, nausea, vision problems, pain behind your eyes. Common side effects of Sotret may include: dryness of your skin, lips, eyes, or nose (you may have nosebleeds ); vision problems; headache, back pain , joint pain, muscle problems; skin reactions; or cold symptoms such as stuffy nose, sneezing, sore throat.",isotretinoin (oral),"Miscellaneous antineoplastics, Miscellaneous uncategorized agents","Absorica, Accutane, Amnesteem, Claravis, Myorisan, Sotret, Zenatane"
sulfacetamide sodium/sulfur,"redness, warmth, swelling, itching, stinging, burning, or irritation of treated skin.",sulfacetamide sodium and sulfur topical,Topical antibiotics,"BP 10-Wash, Plexion, Sumadan, Sumaxin, Suphera, Novacet, Sulfacet-R, Zetacet, Plexion Cleanser, Plexion TS, Rosula, Rosula Cleanser, Nicosyn, Rosanil Cleanser, Avar Cleanser, Clenia Foaming Wash, Clenia Emollient Cream, Avar Gel, Avar Green, Rosac, Prascion Cleanser, Avar-E Emollient, Avar-E Green, Rosaderm Cleanser, Zetacet Wash, Plexion SCT, Plexion Cleansing Cloths, Prascion FC Cloths, Prascion RA, Clarifoam EF, Prascion, Rosac Wash, Topisulf, Sulfatol C, SulZee Wash, Sulfatol SS, Sumaxin Wash, Avar LS Cleanser, Avar-e LS, SE 10-5 SS, Avar-E, Sumaxin TS, Zencia Wash, Sumadan Wash, Garimide, Sumaxin CP, Virti-Sulf, Avar LS, Avar, Sumadan XLT, Rosula Wash, Clenia Plus Green Tea and Aloe"
tazarotene,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Stop using tazarotene and call your doctor at once if you have: severe skin irritation (pain, dryness, flaking, peeling, burning, stinging, itching) after applying the medicine; blistering or peeling skin ; severe redness or discomfort; or swelling, warmth, oozing, or other signs of skin infection . Common tazarotene side effects may include: dry, scaly, or peeling skin; skin pain, redness or burning; or itching or other irritation of treated skin.",tazarotene topical,"Topical acne agents, Topical antipsoriatics","Arazlo, Avage, Fabior, Tazorac"
Veltin,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Stop using this medicine and call your doctor at once if you have: severe redness, burning, stinging, or scaling of treated skin areas; or diarrhea that is watery or bloody. Common Veltin side effects may include: mild skin irritation, dryness or peeling; mild skin redness; or itching of treated skin.",clindamycin and tretinoin (topical),Topical acne agents,Ziana
Zenatane,"problems with your vision or hearing; muscle or joint pain, bone pain, back pain; increased thirst, increased urination; hallucinations, (see or hearing things that are not real); symptoms of depression--unusual mood changes, crying spells, feelings of low self-worth, loss of interest in things you once enjoyed, new sleep problems, thoughts about hurting yourself; signs of liver or pancreas problems--loss of appetite, upper stomach pain (that may spread to your back), nausea or vomiting, fast heart rate , dark urine, jaundice (yellowing of the skin or eyes); severe stomach problems--severe stomach or chest pain, pain when swallowing, heartburn , diarrhea , rectal bleeding , bloody or tarry stools; or increased pressure inside the skull--severe headaches, ringing in your ears, dizziness, nausea, vision problems, pain behind your eyes. Common side effects of Zenatane may include: dryness of your skin, lips, eyes, or nose (you may have nosebleeds ); vision problems; headache, back pain , joint pain, muscle problems; skin reactions; or cold symptoms such as stuffy nose, sneezing, sore throat.",isotretinoin (oral),Miscellaneous uncategorized agents,"Absorica, Accutane, Amnesteem, Claravis, Myorisan, Sotret, Zenatane"
Acne-Clear,"Acne-Clear can cause a rare but serious allergic reaction or severe skin irritation. These reactions may occur just a few minutes after you apply the medicine, or within a day or longer afterward. Stop using this medicine and get emergency medical help if you have signs of an allergic reaction : hives, itching; difficult breathing, feeling light-headed; swelling of your face, lips, tongue, or throat. Stop using benzoyl peroxide and call your doctor at once if you have any of these side effects on the treated skin: severe itching or burning; severe stinging or redness; swelling; or peeling. Common side effects of Acne-Clear may include: mild stinging or burning; itching or tingly feeling; skin dryness, peeling, or flaking; or redness or other irritation.",benzoyl peroxide topical,Topical acne agents,"Benzac AC, BenzePrO, Benziq, Brevoxyl Acne Wash Kit, Clearskin, Fostex Wash 10%, NeoBenz Micro, Neutrogena Acne Mask, Oscion, Oxy Daily Wash, Oxy-10, Pacnex, PanOxyl, Persa-Gel, Riax, SoluCLENZ Rx, Triaz"
Acnevir,"Acnevir can cause a rare but serious allergic reaction or severe skin irritation. These reactions may occur just a few minutes after you apply the medicine, or within a day or longer afterward. Stop using this medicine and get emergency medical help if you have signs of an allergic reaction : hives, itching; difficult breathing, feeling light-headed; swelling of your face, lips, tongue, or throat. Also stop using Acnevir and call your doctor at once if you have: severe headache , ringing in your ears, problems with hearing, thinking problems; severe stomach pain, vomiting , or diarrhea ; a light-headed feeling, like you might pass out; shortness of breath; or severe burning, dryness, or irritation of the skin. Common side effects of Acnevir may include: minor skin irritation , rash, or peeling; or changes in the color of treated skin (usually whitening).",salicylic acid topical,"Topical acne agents, Topical keratolytics","CeraVe SA Renewing, Compound W, DermalZone, Dermarest Psoriasis Skin Treatment, Dr Scholl's Corn Removers, Freezone Corn Remover, Keralyt, Mediplast, Salex, Scalpicin Scalp Relief, Stri-Dex, Wart Remover, Xalix"
Altreno,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Altreno may cause serious side effects. Call your doctor at once if you have: severe burning, stinging, or irritation of treated skin; severe skin dryness; or severe redness, swelling, blistering, peeling, or crusting. Your skin may be more sensitive to weather extremes such as cold and wind while using Altreno. Common side effects of Altreno may include: skin pain, redness, burning, itching, or irritation; sore throat ; mild warmth or stinging where the medicine was applied; or changes in color of treated skin.",tretinoin topical,Topical acne agents,"Atralin, Avita, Refissa, Renova, Retin-A"
Arazlo,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Arazlo may cause serious side effects. Stop using Arazlo and call your doctor at once if you have: severe skin irritation (pain, dryness, flaking, peeling, burning, stinging, itching) after applying the medicine; blistering or peeling skin ; severe redness or discomfort; or swelling, warmth, oozing, or other signs of skin infection . Common side effects of Arazlo may include: dry, scaly, or peeling skin; skin pain, redness or burning; or itching or other irritation of treated skin.",tazarotene topical,Topical acne agents,"Avage, Fabior, Tazorac"
Avar,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Skin irritation. Rarely, very bad effects have happened with sulfa drugs . Sometimes, these have been deadly. These effects have included liver problems, blood problems, and very bad skin reactions ( Stevens-Johnson syndrome / toxic epidermal necrolysis ). Call your doctor right away if you have a rash; red, swollen, blistered, or peeling skin; red or irritated eyes; sores in your mouth, throat, nose, or eyes; fever, chills, or sore throat; cough that is new or worse; feeling very tired or weak; any bruising or bleeding; or signs of liver problems like dark urine, feeling tired, not hungry, upset stomach or stomach pain, light-colored stools, throwing up, or yellow skin or eyes. Avar side effects",Sulfur and Sulfacetamide Cream and Gel,Topical antibiotics,Plexion SCT
Avar LS,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Skin irritation. Rarely, very bad effects have happened with sulfa drugs . Sometimes, these have been deadly. These effects have included liver problems, blood problems, and very bad skin reactions ( Stevens-Johnson syndrome / toxic epidermal necrolysis ). Call your doctor right away if you have a rash; red, swollen, blistered, or peeling skin; red or irritated eyes; sores in your mouth, throat, nose, or eyes; fever, chills, or sore throat; cough that is new or worse; feeling very tired or weak; any bruising or bleeding; or signs of liver problems like dark urine, feeling tired, not hungry, upset stomach or stomach pain, light-colored stools, throwing up, or yellow skin or eyes. Avar LS side effects",Sulfur and Sulfacetamide Foam,Topical antibiotics,"Avar, Clarifoam EF, SSS 10-4, SSS 10-5"
Benzac AC,"Benzac AC can cause a rare but serious allergic reaction or severe skin irritation. These reactions may occur just a few minutes after you apply the medicine, or within a day or longer afterward. Stop using this medicine and get emergency medical help if you have signs of an allergic reaction : hives, itching; difficult breathing, feeling light-headed; swelling of your face, lips, tongue, or throat. Stop using benzoyl peroxide and call your doctor at once if you have any of these side effects on the treated skin: severe itching or burning; severe stinging or redness; swelling; or peeling. Common side effects of Benzac AC may include: mild stinging or burning; itching or tingly feeling; skin dryness, peeling, or flaking; or redness or other irritation.",benzoyl peroxide topical,Topical acne agents,"Acne-Clear, BenzePrO, Benziq, Brevoxyl Acne Wash Kit, Clearskin, Fostex Wash 10%, NeoBenz Micro, Neutrogena Acne Mask, Oscion, Oxy Daily Wash, Oxy-10, Pacnex, PanOxyl, Persa-Gel, Riax, SoluCLENZ Rx, Triaz"
Benzac AC Wash,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Benzac AC Wash side effects",Benzoyl Peroxide Wash and Cleanser,Topical acne agents,"BP Foaming Wash, BP Wash, BPO-10 Wash, BPO-5 Wash, Desquam-X Wash, Effaclor Duo, Neutrogena Clear Pore, PanOxyl Wash, PanOxyl-4 Creamy Wash, PanOxyl-8 Creamy Wash, PR Benzoyl Peroxide Wash"
Benzac W,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Benzac W side effects",Benzoyl Peroxide Wash and Cleanser,Topical acne agents,"Benzac AC Wash, BP Foaming Wash, BP Wash, BPO-10 Wash, BPO-5 Wash, Desquam-X Wash, Effaclor Duo, Neutrogena Clear Pore, PanOxyl Wash, PanOxyl-4 Creamy Wash, PanOxyl-8 Creamy Wash, PR Benzoyl Peroxide Wash"
